1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
21	chr21
22	chr22
X	chrX
Y	chrY
MT	chrM
GL000191.1	GL000191.1
GL000192.1	GL000192.1
GL000193.1	GL000193.1
GL000194.1	GL000194.1
GL000195.1	GL000195.1
GL000196.1	GL000196.1
GL000197.1	GL000197.1
GL000198.1	GL000198.1
GL000199.1	GL000199.1
GL000200.1	GL000200.1
GL000201.1	GL000201.1
GL000202.1	GL000202.1
GL000203.1	GL000203.1
GL000204.1	GL000204.1
GL000205.1	GL000205.1
GL000206.1	GL000206.1
GL000207.1	GL000207.1
GL000208.1	GL000208.1
GL000209.1	GL000209.1
GL000210.1	GL000210.1
GL000211.1	GL000211.1
GL000212.1	GL000212.1
GL000213.1	GL000213.1
GL000214.1	GL000214.1
GL000215.1	GL000215.1
GL000216.1	GL000216.1
GL000217.1	GL000217.1
GL000218.1	GL000218.1
GL000219.1	GL000219.1
GL000220.1	GL000220.1
GL000221.1	GL000221.1
GL000222.1	GL000222.1
GL000223.1	GL000223.1
GL000224.1	GL000224.1
GL000225.1	GL000225.1
GL000226.1	GL000226.1
GL000227.1	GL000227.1
GL000228.1	GL000228.1
GL000229.1	GL000229.1
GL000230.1	GL000230.1
GL000231.1	GL000231.1
GL000232.1	GL000232.1
GL000233.1	GL000233.1
GL000234.1	GL000234.1
GL000235.1	GL000235.1
GL000236.1	GL000236.1
GL000237.1	GL000237.1
GL000238.1	GL000238.1
GL000239.1	GL000239.1
GL000240.1	GL000240.1
GL000241.1	GL000241.1
GL000242.1	GL000242.1
GL000243.1	GL000243.1
GL000244.1	GL000244.1
GL000245.1	GL000245.1
GL000246.1	GL000246.1
GL000247.1	GL000247.1
GL000248.1	GL000248.1
GL000249.1	GL000249.1
HSCHR6_MHC_APD	GL000250.1
HSCHR6_MHC_COX	GL000251.1
HSCHR6_MHC_DBB	GL000252.1
HSCHR6_MHC_MANN	GL000253.1
HSCHR6_MHC_MCF	GL000254.1
HSCHR6_MHC_QBL	GL000255.1
HSCHR6_MHC_SSTO	GL000256.1
HSCHR4_1	GL000257.1
HSCHR17_1	GL000258.1
HSCHR5_1_CTG1	GL339449.2
HG79_PATCH	GL339450.1
HG999_1_PATCH	GL383516.1
HG999_2_PATCH	GL383517.1
HSCHR1_1_CTG31	GL383518.1
HSCHR1_2_CTG31	GL383519.1
HSCHR1_3_CTG31	GL383520.1
HSCHR2_1_CTG1	GL383521.1
HSCHR2_1_CTG12	GL383522.1
HG186_PATCH	GL383523.1
HG280_PATCH	GL383524.1
HG991_PATCH	GL383525.1
HSCHR3_1_CTG2_1	GL383526.1
HSCHR4_1_CTG12	GL383527.1
HSCHR4_1_CTG6	GL383528.1
HSCHR4_2_CTG9	GL383529.1
HSCHR5_1_CTG2	GL383530.1
HSCHR5_1_CTG5	GL383531.1
HSCHR5_2_CTG1	GL383532.1
HSCHR6_1_CTG5	GL383533.1
HSCHR7_1_CTG6	GL383534.2
HG104_HG975_PATCH	GL383535.1
HG243_PATCH	GL383536.1
HG998_1_PATCH	GL383537.1
HG998_2_PATCH	GL383538.1
HSCHR9_1_CTG1	GL383539.1
HSCHR9_1_CTG35	GL383540.1
HSCHR9_2_CTG35	GL383541.1
HSCHR9_3_CTG35	GL383542.1
HG544_PATCH	GL383543.1
HG995_PATCH	GL383544.1
HSCHR10_1_CTG2	GL383545.1
HSCHR10_1_CTG5	GL383546.1
HSCHR11_1_CTG1_1	GL383547.1
HG996_PATCH	GL383548.1
HSCHR12_1_CTG2	GL383549.1
HSCHR12_1_CTG2_1	GL383550.1
HSCHR12_1_CTG5	GL383551.1
HSCHR12_2_CTG2_1	GL383552.1
HSCHR12_3_CTG2_1	GL383553.2
HSCHR15_1_CTG4	GL383554.1
HSCHR15_1_CTG8	GL383555.1
HSCHR16_1_CTG3_1	GL383556.1
HSCHR16_2_CTG3_1	GL383557.1
HG183_PATCH	GL383558.1
HG745_PATCH	GL383559.2
HG75_PATCH	GL383560.1
HG987_PATCH	GL383561.2
HG990_PATCH	GL383562.1
HSCHR17_1_CTG1	GL383563.2
HSCHR17_1_CTG4	GL383564.1
HSCHR17_2_CTG4	GL383565.1
HSCHR17_3_CTG4	GL383566.1
HSCHR18_1_CTG1_1	GL383567.1
HSCHR18_1_CTG2	GL383568.1
HSCHR18_1_CTG2_1	GL383569.1
HSCHR18_2_CTG1_1	GL383570.1
HSCHR18_2_CTG2	GL383571.1
HSCHR18_2_CTG2_1	GL383572.1
HSCHR19_1_CTG3	GL383573.1
HSCHR19_1_CTG3_1	GL383574.1
HSCHR19_2_CTG3	GL383575.2
HSCHR19_3_CTG3	GL383576.1
HSCHR20_1_CTG1	GL383577.1
HSCHR21_1_CTG1_1	GL383578.1
HSCHR21_2_CTG1_1	GL383579.1
HSCHR21_3_CTG1_1	GL383580.1
HSCHR21_4_CTG1_1	GL383581.1
HSCHR22_1_CTG1	GL383582.2
HSCHR22_1_CTG2	GL383583.1
HSCHR2_2_CTG12	GL582966.2
HG706_PATCH	GL582967.1
HG115_PATCH	GL582968.1
HG14_PATCH	GL582969.1
HG736_PATCH	GL582970.1
HG7_PATCH	GL582971.1
HG946_PATCH	GL582972.1
HG281_PATCH	GL582973.1
HG858_PATCH	GL582974.1
HG531_PATCH	GL582975.1
HG185_PATCH	GL582976.1
HG730_PATCH	GL582977.2
HG506_HG507_HG1000_PATCH	GL582979.2
HG1007_PATCH	GL877870.2
HG686_PATCH	GL877871.1
HG1032_PATCH	GL877872.1
HG905_PATCH	GL877873.1
HSCHR12_1_CTG1	GL877875.1
HSCHR12_2_CTG2	GL877876.1
HG480_HG481_PATCH	GL877877.2
HG989_PATCH	GL949741.1
HSCHR5_3_CTG1	GL949742.1
HG19_PATCH	GL949743.1
HG536_PATCH	GL949744.1
HG1133_PATCH	GL949745.1
HSCHR19LRC_COX1_CTG1	GL949746.1
HSCHR19LRC_COX2_CTG1	GL949747.1
HSCHR19LRC_LRC_I_CTG1	GL949748.1
HSCHR19LRC_LRC_J_CTG1	GL949749.1
HSCHR19LRC_LRC_S_CTG1	GL949750.1
HSCHR19LRC_LRC_T_CTG1	GL949751.1
HSCHR19LRC_PGF1_CTG1	GL949752.1
HSCHR19LRC_PGF2_CTG1	GL949753.1
HG1091_PATCH	JH159131.1
HG325_PATCH	JH159132.1
HG1063_PATCH	JH159133.1
HG1257_PATCH	JH159134.2
HG418_PATCH	JH159135.2
HG142_HG150_NOVEL_TEST	JH159136.1
HG151_NOVEL_TEST	JH159137.1
HG299_PATCH	JH159138.1
HG305_PATCH	JH159139.1
HG306_PATCH	JH159140.1
HG348_PATCH	JH159141.2
HG388_HG400_PATCH	JH159142.2
HG414_PATCH	JH159143.1
HG747_PATCH	JH159144.1
HG883_PATCH	JH159145.1
HSCHR17_4_CTG4	JH159146.1
HSCHR17_5_CTG4	JH159147.1
HSCHR17_6_CTG4	JH159148.1
HG729_PATCH	JH159149.1
HG1497_PATCH	JH159150.3
HG1211_PATCH	JH591181.2
HG311_PATCH	JH591182.1
HG339_PATCH	JH591183.1
HG256_PATCH	JH591184.1
HG873_PATCH	JH591185.1
HG748_PATCH	JH591186.1
HG1287_PATCH	JH636052.4
HG1292_PATCH	JH636053.3
HG1293_PATCH	JH636054.1
HSCHR3_1_CTG1	JH636055.1
HG1304_PATCH	JH636056.1
HG1322_PATCH	JH636057.1
HG1308_PATCH	JH636058.1
HG962_PATCH	JH636059.1
HG871_PATCH	JH636060.1
HG271_PATCH	JH636061.1
HG122_PATCH	JH720443.2
HG344_PATCH	JH720444.2
HG971_PATCH	JH720445.1
HG1208_PATCH	JH720446.1
HG1146_PATCH	JH720447.1
HG144_PATCH	JH720448.1
HG329_PATCH	JH720449.1
HG1423_PATCH	JH720451.1
HG1424_PATCH	JH720452.1
HG1425_PATCH	JH720453.1
HG1426_PATCH	JH720454.3
HG375_PATCH	JH720455.1
HG1471_PATCH	JH806573.1
HG1472_PATCH	JH806574.2
HG1473_PATCH	JH806575.1
HG27_PATCH	JH806576.1
HG1500_PATCH	JH806577.1
HG1501_PATCH	JH806578.1
HG1502_PATCH	JH806579.1
HG1479_PATCH	JH806580.1
HG865_PATCH	JH806581.1
HG417_PATCH	JH806582.2
HG1486_PATCH	JH806583.1
HG1487_PATCH	JH806584.1
HG1488_PATCH	JH806585.1
HG497_PATCH	JH806586.1
HG1433_PATCH	JH806587.1
HG1434_PATCH	JH806588.1
HG1435_PATCH	JH806589.1
HG1436_HG1432_PATCH	JH806590.2
HG1437_PATCH	JH806591.1
HG1438_PATCH	JH806592.1
HG1439_PATCH	JH806593.1
HG1440_PATCH	JH806594.1
HG1441_PATCH	JH806595.1
HG1442_PATCH	JH806596.1
HG1443_HG1444_PATCH	JH806597.1
HG1453_PATCH	JH806598.1
HG1458_PATCH	JH806599.1
HG1459_PATCH	JH806600.2
HG1462_PATCH	JH806601.1
HG1463_PATCH	JH806602.1
HG1490_PATCH	JH806603.1
HSCHR6_2_CTG5	KB021644.1
HG1592_PATCH	KB021645.1
HG385_PATCH	KB021646.2
HG1079_PATCH	KB021647.1
HG29_PATCH	KB021648.1
HG953_PATCH	KB663603.1
HG357_PATCH	KB663604.1
HG50_PATCH	KB663605.1
HG1074_PATCH	KB663606.1
HG1595_PATCH	KB663607.2
HG944_PATCH	KB663608.1
HSCHR22_2_CTG1	KB663609.1
HG957_PATCH	KE332495.1
HG174_HG254_PATCH	KE332496.1
HG1082_HG167_PATCH	KE332497.1
HG193_PATCH	KE332498.1
HG444_PATCH	KE332499.1
HG1699_PATCH	KE332500.1
HG979_PATCH	KE332501.1
HG1591_PATCH	KE332502.1
HG1350_HG959_PATCH	KE332505.1
HG237_PATCH	KE332506.1
