chr1	1
chr2	2
chr3	3
chr4	4
chr5	5
chr6	6
chr7	7
chr8	8
chr9	9
chr10	10
chr11	11
chr12	12
chr13	13
chr14	14
chr15	15
chr16	16
chr17	17
chr18	18
chr19	19
chr20	20
chr21	21
chr22	22
chrX	X
chrY	Y
chrM	MT
GL877870.2	HG1001_PATCH
GL877872.1	HG1032_PATCH
GL383535.1	HG104_HG975_PATCH
JH159133.1	HG1063_PATCH
KB663606.1	HG1074_PATCH
KB021647.1	HG1079_PATCH
KE332497.1	HG1082_HG167_PATCH
JH159131.1	HG1091_PATCH
GL949745.1	HG133_PATCH
JH720447.1	HG1146_PATCH
GL582968.1	HG115_PATCH
JH720446.1	HG1208_PATCH
JH591181.2	HG1211_PATCH
JH720443.2	HG122_PATCH
JH159134.2	HG1257_PATCH
JH636052.4	HG1287_PATCH
JH636053.3	HG1291_PATCH
JH636054.1	HG1293_PATCH
JH636056.1	HG1304_PATCH
JH636058.1	HG1308_PATCH
JH636057.1	HG1322_PATCH
KE332505.1	HG1350_HG959_PATCH
JH720451.1	HG1423_PATCH
JH720452.1	HG1424_PATCH
JH720453.1	HG1425_PATCH
JH720454.3	HG1426_PATCH
JH159136.1	HG142_HG150_NOVEL_TEST
JH806587.1	HG1433_PATCH
JH806588.1	HG1434_PATCH
JH806589.1	HG1435_PATCH
JH806590.2	HG1436_HG1432_PATCH
JH806591.1	HG1437_PATCH
JH806592.1	HG1438_PATCH
JH806593.1	HG1439_PATCH
JH806594.1	HG1440_PATCH
JH806595.1	HG1441_PATCH
JH806596.1	HG1442_PATCH
JH806597.1	HG1443_HG1444_PATCH
JH806598.1	HG1453_PATCH
JH806599.1	HG1458_PATCH
JH806600.2	HG1459_PATCH
JH806601.1	HG1462_PATCH
JH806602.1	HG1463_PATCH
JH806580.1	HG1479_PATCH
JH806583.1	HG1486_PATCH
JH806584.1	HG1487_PATCH
JH806585.1	HG1488_PATCH
JH806603.1	HG1490_PATCH
JH159150.3	HG1497_PATCH
GL582969.1	HG14_PATCH
JH806577.1	HG1500_PATCH
JH806578.1	HG1501_PATCH
JH806579.1	HG1502_PATCH
JH159137.1	HG151_NOVEL_TEST
KE332502.1	HG1591_PATCH
KB021645.1	HG1592_PATCH
KB663607.2	HG1595_PATCH
KE332496.1	HG174_HG254_PATCH
GL383558.1	HG183_PATCH
GL582976.1	HG185_PATCH
GL383523.1	HG186_PATCH
KE332498.1	HG193_PATCH
GL949743.1	HG19_PATCH
KE332506.1	HG237_PATCH
GL383536.1	HG243_PATCH
JH591184.1	HG256_PATCH
JH636061.1	HG271_PATCH
JH806576.1	HG27_PATCH
GL582973.1	HG281_PATCH
JH159138.1	HG299_PATCH
KB021648.1	HG29_PATCH
JH159139.1	HG305_PATCH
JH159140.1	HG306_PATCH
JH591182.1	HG311_PATCH
JH159132.1	HG325_PATCH
JH720449.1	HG329_PATCH
JH591183.1	HG339_PATCH
JH720444.2	HG344_PATCH
JH159141.2	HG348_PATCH
KB663604.1	HG357_PATCH
JH720455.1	HG375_PATCH
KB021646.2	HG385_PATCH
JH159142.2	HG388_HG400_PATCH
JH159143.1	HG414_PATCH
JH806582.2	HG417_PATCH
JH159135.2	HG418_PATCH
KE332499.1	HG444_PATCH
GL877877.2	HG480_HG481_PATCH
JH806586.1	HG497_PATCH
GL582979.2	HG506_HG507_HG1000_PATCH
KB663605.1	HG50_PATCH
GL582975.1	HG531_PATCH
GL949744.1	HG536_PATCH
GL383543.1	HG544_PATCH
GL877871.1	HG686_PATCH
GL582967.1	HG706_PATCH
JH159149.1	HG729_PATCH
GL582977.2	HG730_PATCH
GL582970.1	HG736_PATCH
GL383559.2	HG745_PATCH
JH159144.1	HG747_PATCH
JH591186.1	HG748_PATCH
GL383560.1	HG75_PATCH
GL339450.1	HG79_PATCH
GL582971.1	HG7_PATCH
GL582974.1	HG858_PATCH
JH806581.1	HG865_PATCH
JH636060.1	HG871_PATCH
JH591185.1	HG873_PATCH
JH159145.1	HG883_PATCH
GL877873.1	HG905_PATCH
KB663608.1	HG944_PATCH
GL582972.1	HG946_PATCH
KB663603.1	HG953_PATCH
KE332495.1	HG957_PATCH
JH636059.1	HG962_PATCH
JH720445.1	HG971_PATCH
KE332501.1	HG979_PATCH
GL383561.2	HG987_PATCH
GL949741.1	HG989_PATCH
GL383562.1	HG990_PATCH
GL383548.1	HG996_PATCH
GL383537.1	HG998_1_PATCH
GL383538.1	HG998_2_PATCH
GL383516.1	HG999_1_PATCH
GL383517.1	HG999_2_PATCH
GL383545.1	HSCHR10_1_CTG2
GL383546.1	HSCHR10_1_CTG5
GL877875.1	HSCHR12_1_CTG1
GL383550.1	HSCHR12_1_CTG2_1
GL383551.1	HSCHR12_1_CTG5
GL877876.1	HSCHR12_2_CTG2
GL383552.1	HSCHR12_2_CTG2_1
GL383553.2	HSCHR12_3_CTG2_1
GL383554.1	HSCHR15_1_CTG4
GL383555.1	HSCHR15_1_CTG8
GL383556.1	HSCHR16_1_CTG3_1
GL383557.1	HSCHR16_2_CTG3_1
GL000258.1	HG183_PATCH
GL383563.2	HSCHR17_1_CTG1
GL383564.1	HSCHR17_1_CTG4
GL383565.1	HSCHR17_2_CTG4
GL383566.1	HSCHR17_3_CTG4
JH159146.1	HSCHR17_4_CTG4
JH159147.1	HSCHR17_5_CTG4
JH159148.1	HSCHR17_6_CTG4
GL383567.1	HSCHR18_1_CTG1_1
GL383569.1	HSCHR18_1_CTG2_1
GL383571.1	HSCHR18_2_CTG2
GL383572.1	HSCHR18_2_CTG2_1
GL949746.1	HSCHR19LRC_COX1_CTG1
GL949747.1	HSCHR19LRC_COX2_CTG1
GL949748.1	HSCHR19LRC_LRC_I_CTG1
GL949749.1	HSCHR19LRC_LRC_J_CTG1
GL949750.1	HSCHR19LRC_LRC_S_CTG1
GL949751.1	HSCHR19LRC_LRC_T_CTG1
GL949752.1	HSCHR19LRC_PGF1_CTG1
GL949753.1	HSCHR19LRC_PGF2_CTG1
GL383573.1	HSCHR19_1_CTG3
GL383574.1	HSCHR19_1_CTG3_1
GL383575.2	HSCHR19_2_CTG3
GL383576.1	HSCHR19_3_CTG3
GL383518.1	HSCHR1_1_CTG31
GL383519.1	HSCHR1_2_CTG31
GL383520.1	HSCHR1_3_CTG31
GL383577.1	HSCHR20_1_CTG1
GL383579.1	HSCHR21_2_CTG1_1
GL383580.1	HSCHR21_3_CTG1_1
GL383581.1	HSCHR21_4_CTG1_1
GL383582.2	HSCHR22_1_CTG1
GL383583.1	HSCHR22_1_CTG2
KB663609.1	HSCHR22_2_CTG1
GL383521.1	HSCHR2_1_CTG1
GL383522.1	HSCHR2_1_CTG12
JH636055.1	HSCHR3_1_CTG1
GL383526.1	HSCHR3_1_CTG2_1
GL383527.1	HSCHR4_1_CTG12
GL383528.1	HSCHR4_1_CTG6
GL339449.2	HSCHR5_1_CTG1
GL383531.1	HSCHR5_1_CTG5
GL949742.1	HSCHR5_3_CTG1
GL383533.1	HSCHR6_1_CTG5
GL000250.1	HSCHR6_MHC_APD_CTG1
GL000251.1	HSCHR6_MHC_COX_CTG1
GL000252.1	HSCHR6_MHC_DBB_CTG1
GL000253.1	HSCHR6_MHC_MANN_CTG1
GL000254.1	HSCHR6_MHC_MCF_CTG1
GL000255.1	HSCHR6_MHC_QBL_CTG1
GL000256.1	HSCHR6_MHC_SSTO_CTG1
GL000257.1	HSCHR4_1_CTG9
GL383534.2	HSCHR7_1_CTG6
GL383539.1	HSCHR9_1_CTG1
